10 1290 
10.0066 1290.08 
10.0133 1289.98 
10.0199 1290.02 
10.0265 1290 
10.0332 1290 
10.0398 1290 
10.0465 1290 
10.0531 1289.99 
10.0598 1289.99 
10.0664 1289.99 
10.0731 1289.99 
10.0798 1289.98 
10.0865 1289.98 
10.0932 1289.98 
10.0998 1289.98 
10.1065 1289.97 
10.1132 1289.97 
10.1199 1289.97 
10.1266 1289.97 
10.1333 1289.96 
10.1401 1289.96 
10.1468 1289.96 
10.1535 1289.96 
10.1602 1289.96 
10.167 1289.95 
10.1737 1289.95 
10.1804 1289.95 
10.1872 1289.95 
10.1939 1289.95 
10.2007 1289.95 
10.2074 1289.95 
10.2142 1289.95 
10.221 1289.94 
10.2277 1289.94 
10.2345 1289.94 
10.2413 1289.94 
10.2481 1289.94 
10.2549 1289.94 
10.2617 1289.94 
10.2685 1289.94 
10.2753 1289.94 
10.2821 1289.94 
10.2889 1289.94 
10.2957 1289.94 
10.3025 1289.94 
10.3093 1289.94 
10.3162 1289.94 
10.323 1289.94 
10.3298 1289.94 
10.3367 1289.94 
10.3435 1289.95 
10.3504 1289.95 
10.3572 1289.95 
10.3641 1289.95 
10.371 1289.95 
10.3778 1289.95 
10.3847 1289.96 
10.3916 1289.96 
10.3985 1289.96 
10.4054 1289.96 
10.4123 1289.97 
10.4192 1289.97 
10.4261 1289.97 
10.433 1289.98 
10.4399 1289.98 
10.4468 1289.98 
10.4537 1289.99 
10.4607 1289.99 
10.4676 1290 
10.4745 1290 
10.4815 1290.01 
10.4884 1290.01 
10.4953 1290.02 
10.5023 1290.02 
10.5093 1290.03 
10.5162 1290.03 
10.5232 1290.04 
10.5302 1290.05 
10.5371 1290.06 
10.5441 1290.06 
10.5511 1290.07 
10.5581 1290.08 
10.5651 1290.09 
10.5721 1290.1 
10.5791 1290.1 
10.5861 1290.11 
10.5931 1290.12 
10.6001 1290.13 
10.6072 1290.14 
10.6142 1290.16 
10.6212 1290.17 
10.6283 1290.18 
10.6353 1290.19 
10.6423 1290.2 
10.6494 1290.22 
10.6564 1290.23 
10.6635 1290.24 
10.6706 1290.26 
10.6776 1290.27 
10.6847 1290.29 
10.6918 1290.31 
10.6989 1290.32 
10.706 1290.34 
10.7131 1290.36 
10.7202 1290.38 
10.7273 1290.4 
10.7344 1290.42 
10.7415 1290.44 
10.7486 1290.46 
10.7557 1290.48 
10.7628 1290.5 
10.77 1290.53 
10.7771 1290.55 
10.7842 1290.58 
10.7914 1290.61 
10.7985 1290.63 
10.8057 1290.66 
10.8129 1290.69 
10.82 1290.72 
10.8272 1290.75 
10.8344 1290.79 
10.8415 1290.82 
10.8487 1290.86 
10.8559 1290.89 
10.8631 1290.93 
10.8703 1290.97 
10.8775 1291.01 
10.8847 1291.06 
10.8919 1291.1 
10.8991 1291.15 
10.9063 1291.2 
10.9136 1291.25 
10.9208 1291.3 
10.928 1291.35 
10.9353 1291.41 
10.9425 1291.47 
10.9498 1291.53 
10.957 1291.6 
10.9643 1291.66 
10.9716 1291.73 
10.9788 1291.81 
10.9861 1291.89 
10.9934 1291.97 
11.0007 1292.05 
11.0079 1292.15 
11.0152 1292.24 
11.0225 1292.34 
11.0298 1292.45 
11.0371 1292.56 
11.0445 1292.68 
11.0518 1292.8 
11.0591 1292.94 
11.0664 1293.08 
11.0738 1293.24 
11.0811 1293.4 
11.0884 1293.58 
11.0958 1293.77 
11.1031 1293.98 
11.1105 1294.21 
11.1178 1294.45 
11.1252 1294.73 
11.1326 1295.04 
11.14 1295.39 
11.1473 1295.78 
11.1547 1296.24 
11.1621 1296.78 
11.1695 1297.41 
11.1769 1298.1 
11.1843 1298.72 
11.1917 1298.81 
11.1991 1297.19 
11.2066 1292.08 
11.214 1284.67 
11.2214 1290.72 
11.2288 1287.7 
11.2363 1288.89 
11.2437 1288.44 
11.2512 1288.58 
11.2586 1288.52 
11.2661 1288.52 
11.2736 1288.51 
11.281 1288.5 
11.2885 1288.49 
11.296 1288.48 
11.3035 1288.47 
11.3109 1288.47 
11.3184 1288.46 
11.3259 1288.45 
11.3334 1288.44 
11.341 1288.44 
11.3485 1288.43 
11.356 1288.42 
11.3635 1288.42 
11.371 1288.41 
11.3786 1288.4 
11.3861 1288.4 
11.3936 1288.39 
11.4012 1288.38 
11.4088 1288.38 
11.4163 1288.37 
11.4239 1288.37 
11.4314 1288.36 
11.439 1288.35 
11.4466 1288.35 
11.4542 1288.34 
11.4618 1288.34 
11.4694 1288.33 
11.477 1288.33 
11.4846 1288.32 
11.4922 1288.31 
11.4998 1288.31 
11.5074 1288.3 
11.515 1288.3 
11.5227 1288.29 
11.5303 1288.29 
11.5379 1288.28 
11.5456 1288.28 
11.5532 1288.27 
11.5609 1288.27 
11.5685 1288.26 
11.5762 1288.26 
11.5839 1288.25 
11.5915 1288.25 
11.5992 1288.24 
11.6069 1288.24 
11.6146 1288.23 
11.6223 1288.23 
11.63 1288.22 
11.6377 1288.22 
11.6454 1288.22 
11.6531 1288.21 
11.6608 1288.21 
11.6686 1288.2 
11.6763 1288.2 
11.684 1288.2 
11.6918 1288.19 
11.6995 1288.19 
11.7073 1288.18 
11.715 1288.18 
11.7228 1288.18 
11.7306 1288.17 
11.7383 1288.17 
11.7461 1288.17 
11.7539 1288.16 
11.7617 1288.16 
11.7695 1288.16 
11.7773 1288.15 
11.7851 1288.15 
11.7929 1288.15 
11.8007 1288.14 
11.8085 1288.14 
11.8163 1288.14 
11.8242 1288.14 
11.832 1288.13 
11.8398 1288.13 
11.8477 1288.13 
11.8555 1288.13 
